Row,Column,Latitude,Longitude
0,0,21.24533205,81.31697818
0,1,21.24533205,81.31702152
0,2,21.24533205,81.31706485
0,3,21.24533205,81.31710818
0,4,21.24533205,81.31715152
0,5,21.24533205,81.31719485
0,6,21.24533205,81.31723819
0,7,21.24533205,81.31728152
0,8,21.24533205,81.31732486
0,9,21.24533205,81.31736819
1,0,21.24536794,81.31697818
1,1,21.24536794,81.31702152
1,2,21.24536794,81.31706485
1,3,21.24536794,81.31710818
1,4,21.24536794,81.31715152
1,5,21.24536794,81.31719485
1,6,21.24536794,81.31723819
1,7,21.24536794,81.31728152
1,8,21.24536794,81.31732486
1,9,21.24536794,81.31736819
2,0,21.24540382,81.31697818
2,1,21.24540382,81.31702152
2,2,21.24540382,81.31706485
2,3,21.24540382,81.31710818
2,4,21.24540382,81.31715152
2,5,21.24540382,81.31719485
2,6,21.24540382,81.31723819
2,7,21.24540382,81.31728152
2,8,21.24540382,81.31732486
2,9,21.24540382,81.31736819
3,0,21.24543971,81.31697818
3,1,21.24543971,81.31702152
3,2,21.24543971,81.31706485
3,3,21.24543971,81.31710818
3,4,21.24543971,81.31715152
3,5,21.24543971,81.31719485
3,6,21.24543971,81.31723819
3,7,21.24543971,81.31728152
3,8,21.24543971,81.31732486
3,9,21.24543971,81.31736819
4,0,21.24547559,81.31697818
4,1,21.24547559,81.31702152
4,2,21.24547559,81.31706485
4,3,21.24547559,81.31710818
4,4,21.24547559,81.31715152
4,5,21.24547559,81.31719485
4,6,21.24547559,81.31723819
4,7,21.24547559,81.31728152
4,8,21.24547559,81.31732486
4,9,21.24547559,81.31736819
5,0,21.24551148,81.31697818
5,1,21.24551148,81.31702152
5,2,21.24551148,81.31706485
5,3,21.24551148,81.31710818
5,4,21.24551148,81.31715152
5,5,21.24551148,81.31719485
5,6,21.24551148,81.31723819
5,7,21.24551148,81.31728152
5,8,21.24551148,81.31732486
5,9,21.24551148,81.31736819
6,0,21.24554736,81.31697818
6,1,21.24554736,81.31702152
6,2,21.24554736,81.31706485
6,3,21.24554736,81.31710818
6,4,21.24554736,81.31715152
6,5,21.24554736,81.31719485
6,6,21.24554736,81.31723819
6,7,21.24554736,81.31728152
6,8,21.24554736,81.31732486
6,9,21.24554736,81.31736819
7,0,21.24558324,81.31697818
7,1,21.24558324,81.31702152
7,2,21.24558324,81.31706485
7,3,21.24558324,81.31710818
7,4,21.24558324,81.31715152
7,5,21.24558324,81.31719485
7,6,21.24558324,81.31723819
7,7,21.24558324,81.31728152
7,8,21.24558324,81.31732486
7,9,21.24558324,81.31736819
8,0,21.24561913,81.31697818
8,1,21.24561913,81.31702152
8,2,21.24561913,81.31706485
8,3,21.24561913,81.31710818
8,4,21.24561913,81.31715152
8,5,21.24561913,81.31719485
8,6,21.24561913,81.31723819
8,7,21.24561913,81.31728152
8,8,21.24561913,81.31732486
8,9,21.24561913,81.31736819
9,0,21.24565501,81.31697818
9,1,21.24565501,81.31702152
9,2,21.24565501,81.31706485
9,3,21.24565501,81.31710818
9,4,21.24565501,81.31715152
9,5,21.24565501,81.31719485
9,6,21.24565501,81.31723819
9,7,21.24565501,81.31728152
9,8,21.24565501,81.31732486
9,9,21.24565501,81.31736819
